Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
RASA4,no,no,NA,0.371,15.35151938,0
ANKMY2,no,no,NA,0.00746,7.492807512,0
CHAC1,no,no,NA,0.418,9.672569542,0
GJB5,no,no,NA,0.814,6.171212279,0
NKAIN3,no,no,NA,0.0624,3.936985107,0
EGR1,no,no,NA,0.731,13.89779961,0
PANX1,no,no,NA,0.607,2.066525706,0
ANKRD49,no,no,NA,0.238,5.343643483,0
WNT8B,no,no,NA,0.592,0,0
KLF8,no,no,NA,0.58,44.78194725,0
STARD8,no,no,NA,0.492,0,0
CNTROB,no,no,NA,0.201,2.172922723,0
ZNF677,no,no,NA,0.171,2.462706048,0
MRPL13,no,no,NA,0.219,5.689057926,0
SNTB1,no,no,NA,0.786,1.82493303,0
GUCY2D,no,no,NA,0.392,5.781484328,0
BNIP3L,no,no,NA,0.696,4.182920814,0
PCDH8,no,no,NA,0.84,0,0
SHISA6,no,no,NA,0.458,10.12807656,0
RPE,no,no,NA,0.107,3.165331027,0
TYRO3,no,no,NA,0.753,0.923782922,0
ZNF577,no,no,NA,0.925,0,0
DDHD1,no,no,NA,0.1164,1.085073546,0
ZDHHC16,no,no,NA,0.663,2.460548768,0
LLGL2,no,no,NA,0.218,0,0
DPYSL2,no,no,NA,0.429,0,0
MED16,no,no,NA,0.925,0.894229952,0
KDM4D,no,no,NA,0.543,0,0
CSF1R,no,no,NA,0.494,0.889210407,0
RUNX1,no,no,NA,0.107,2.286146672,0
PDGFRB,no,no,NA,0.378,11.31390887,0
ISCU,no,no,NA,0.393,1.12464814,0
ANKRD2,no,no,NA,0.552,0,0
C10orf2,no,no,NA,0.712,0.968375285,0
RAB11B,no,no,NA,0.597,15.66049704,0
LZTS2,no,no,NA,0.0317,1.856375882,0
C10orf62,no,no,NA,0.462,4.218597431,0
CAMK2A,no,no,NA,0.702,7.371465406,0
HSPA8,no,no,NA,0.149,19.85271258,0
POLR2E,no,no,NA,0.175,1.764395815,0
PI4K2A,no,no,NA,0.233,10.68313219,0
GNB2,no,no,NA,0.133,0,0
KIAA1328,no,no,NA,0.942,0,0
SFXN3,no,no,NA,0.278,1.052989933,0
TP53I11,no,no,NA,0.0587,18.61267012,0
C12orf75,no,no,NA,0.117,0,0
VAMP5,no,no,NA,0.826,9.018969783,0
CD74,no,no,NA,0.427,1.774203167,0
PSD2,no,no,NA,0.338,1.072699493,0
SLC44A2,no,no,NA,0.255,0,0
ADAT1,no,no,NA,0.784,0,0
APOLD1,no,no,NA,0.397,1.918915406,0
ZNF25,no,no,NA,0.601,13.24789729,0
CPXM1,no,no,NA,0.852,5.926719202,0
GPHN,no,no,NA,0.0858,1.367080738,0
DDX47,no,no,NA,0.0556,1.592822572,0
NARFL,no,no,NA,0.629,0,0
SNAP23,no,no,NA,0.303,1.380206494,0
UBE3B,no,no,NA,0.951,3.511672505,0
SRRT,no,no,NA,0.794,3.158778273,0
DERL1,no,no,NA,0.116,0,0
BAHD1,no,no,NA,0.0953,15.85215953,0
CENPC1,no,no,NA,0.723,1.36415251,0
SCARA3,no,no,NA,0.643,0,0
MVK,no,no,NA,0.064,2.596990862,0
MSN,no,no,NA,0.418,11.20220585,0
SLC4A11,no,no,NA,0.94,1.04996603,0
DNAJC21,no,no,NA,0.353,0,0
CARM1,no,no,NA,0.685,18.83178876,0
ZNF317,no,no,NA,0.297,7.530884362,0
KRT77,no,no,NA,0.286,1.573769065,0
SP6,no,no,NA,0.54,2.089010334,0
ANKRD13A,no,no,NA,0.591,1.388926805,0
NLGN3,no,no,NA,0.348,8.145863598,0
ZNF559,no,no,NA,0.523,7.681871474,0
IRF2,no,no,NA,0.0618,10.95668895,0
GBF1,no,no,NA,0.246,29.73163751,0
PDE3B,no,no,NA,0.874,6.629087262,0
MFSD11,no,no,NA,0.469,1.922480106,0
TMEM62,no,no,NA,0.807,1.075697291,0
KRT4,no,no,NA,0.173,0,0
TLE4,no,no,NA,0.382,4.307099767,0
CCNDBP1,no,no,NA,0.229,1.224731564,0
TNNT1,no,no,NA,0.388,0,0
BCL9,no,no,NA,0.516,25.19071373,0
GRAMD1C,no,no,NA,0.774,11.21797511,0
BTBD2,no,no,NA,0.0328,4.682182068,0
IK,no,no,NA,0.72,2.31952058,0
IMPG2,no,no,NA,0.113,7.083982639,0
SEC14L1,no,no,NA,0.289,6.366396955,0
ACSL1,no,no,NA,0.164,0.905222769,0
HMBOX1,no,no,NA,0.407,6.22006442,0
SPATA13,no,no,NA,0.386,8.931205568,1
CSPP1,no,no,NA,0.159,6.166105383,0
ISLR2,no,no,NA,0.237,3.272157343,0
SP7,no,no,NA,0.0311,1.86486735,0
SPARC,no,no,NA,0.55,17.1822914,0
ZNF700,no,no,NA,0.759,0,0
CLCN7,no,no,NA,0.855,9.487939964,0
ZNF441,no,no,NA,0.309,9.154857926,0
RNF24,no,no,NA,0.764,8.444967748,0
MTSS1,no,no,NA,0.408,5.430958583,0
C11orf70,no,no,NA,0.845,0,0
HPS4,no,no,NA,0.486,0,0
ZNF439,no,no,NA,0.524,0,0
IGFALS,no,no,NA,0.201,4.126995305,0
MAFB,no,no,NA,0.342,0,0
TMEM111,no,no,NA,0.139,1.781096666,0
CLK3,no,no,NA,0.46,2.178289441,0
ZHX3,no,no,NA,0.379,3.989877588,0
ACP2,no,no,NA,0.537,11.1255682,0
PDLIM3,no,no,NA,0.903,37.58412191,0
HNRNPK,no,no,NA,0.231,4.738871143,0
EXD2,no,no,NA,0.661,11.58552121,0
BRP44,no,no,NA,0.297,7.65586993,0
RBPMS,no,no,NA,0.397,13.82730773,0
PSMC3,no,no,NA,0.671,3.816051107,0
C10orf10,no,no,NA,0.611,1.067617639,0
DEPDC1,no,no,NA,0.00931,25.30653994,0
TTC19,no,no,NA,0.0941,1.315922667,0
KIAA0247,no,no,NA,0.1001,1.280981967,0
RPIA,no,no,NA,0.417,0,0
PCDH9,no,no,NA,0.583,2.119456397,0
PPAP2A,no,no,NA,0.325,0,0
NUPL1,no,no,NA,0.404,0,0
C9orf103,no,no,NA,0.138,0,0
JUNB,no,no,NA,0.596,1.333823051,0
PCDH7,no,no,NA,0.0901,2.917271648,0
EPB41L5,no,no,NA,0.771,2.539357808,0
GFRA2,no,no,NA,0.859,1.043660743,0
AGBL2,no,no,NA,0.77,0,0
DAPK3,no,no,NA,0.423,7.124253388,0
SAMD14,no,no,NA,0.366,8.13901744,0
SLTM,no,no,NA,0.915,14.90976876,0
PPP1R1A,no,no,NA,0.71,4.549605774,0
FNBP4,no,no,NA,0.542,4.262151898,0
PPP1R9B,no,no,NA,0.246,13.07532969,0
LAMB1,no,no,NA,0.422,5.587524983,0
PNKD,no,no,NA,0.519,0,0
LHFPL3,no,no,NA,0.121,3.24372292,0
INHBB,no,no,NA,0.364,3.490414818,0
RNF14,no,no,NA,0.584,14.37142272,0
SLC16A2,no,no,NA,0.704,24.25281722,0
AGTPBP1,no,no,NA,0.194,0,0
BRWD1,no,no,NA,0.749,17.34455248,1
KLHL1,no,no,NA,0.208,8.007694906,0
PHYHIP,no,no,NA,0.136,2.683209017,0
C7orf30,no,no,NA,0.65,2.902215727,0
PLEKHO1,no,no,NA,0.0596,3.88220677,0
RTN1,no,no,NA,0.443,0,0
C14orf149,no,no,NA,0.945,7.803011694,0
SH3GL1,no,no,NA,0.702,19.26271775,0
ATG5,no,no,NA,0.317,6.705329038,0
TTLL4,no,no,NA,0.713,3.567656427,0
ATP6V0B,no,no,NA,0.673,5.531645588,0
KAT2B,no,no,NA,0.0671,1.497743136,0
ZNF154,no,no,NA,0.718,2.855336708,0
MAGEE1,no,no,NA,0.654,3.423030992,0
PLBD2,no,no,NA,0.652,3.743096811,0
B4GALT2,no,no,NA,0.641,8.45373291,0
ARHGAP26,no,no,NA,0.813,0,0
SPAG9,no,no,NA,0.355,0,0
ELMOD1,no,no,NA,0.64,2.311703253,0
GAS1,no,no,NA,0.319,0,0
ZNF417,no,no,NA,0.504,17.81627717,0
KIAA1524,no,no,NA,0.174,12.59575788,0
PGK1,no,no,NA,0.388,7.591414472,0
ACAT1,no,no,NA,0.203,4.186162844,0
CA10,no,no,NA,0.693,9.478277987,0
CCDC88A,no,no,NA,0.232,8.768803713,0
RNF213,no,no,NA,0.219907536,0.966701628,0
SAFB2,no,no,NA,0.742,6.627948911,0
CRYZ,no,no,NA,0.603,24.67795568,0
KIAA0922,no,no,NA,0.365,0,0
ENTPD4,no,no,NA,0.277,0,0
ASAP1,no,no,NA,0.565,19.45521174,0
PAN3,no,no,NA,0.309,1.265362661,0
CNTNAP5,no,no,NA,0.847,2.01976228,0
SF3A1,no,no,NA,0.443,0,0
C17orf39,no,no,NA,0.481,0,0
DES,no,no,NA,0.128,6.706725845,0
PLK3,no,no,NA,0.407,0,0
DUT,no,no,NA,0.584,6.652066799,0
RPTOR,no,no,NA,0.591,5.972218017,0
PNPT1,no,no,NA,0.506,2.142055288,0
SYDE1,no,no,NA,0.0326,3.559067431,0
MLLT11,no,no,NA,0.147,1.901352484,0
SH3BGRL,no,no,NA,0.548,21.96899582,0
ZNF132,no,no,NA,0.939,0.86181089,0
KLF12,no,no,NA,0.379,1.261781553,0
NLRC3,no,no,NA,0.392,2.335921566,0
MMACHC,no,no,NA,0.385,11.82300343,0
SMCR8,no,no,NA,0.397,0,0
RANBP3,no,no,NA,0.727,13.68971946,0
NXPH2,no,no,NA,0.0249,1.961677869,0
SNX10,no,no,NA,0.328,6.266714967,0
CHMP2A,no,no,NA,0.141,1.971715588,0
PLTP,no,no,NA,0.279,12.22909619,0
ZFYVE20,no,no,NA,0.554,6.118906073,0
NASP,no,no,NA,0.745,4.740475369,0
PRKAR2B,no,no,NA,0.384,1.353892213,0
FAM114A1,no,no,NA,0.634,4.260470182,0
NFRKB,no,no,NA,0.596,5.215663732,0
TRIB3,no,no,NA,0.333,1.313132619,0
ASAP2,no,no,NA,0.549,4.238083581,0
SH3BP5,no,no,NA,0.461,3.605857981,0
PRDM10,no,no,NA,0.681,27.37151022,0
KCTD9,no,no,NA,0.0569,1.581341393,0
TCERG1,no,no,NA,0.646,2.731593949,0
NCOA5,no,no,NA,0.135,1.145763598,0
DUSP5,no,no,NA,0.717,3.14749306,0
ZNF711,no,no,NA,0.655,4.893719192,0
PRDM15,no,no,NA,0.158,7.006893248,0
DEPDC1B,no,no,NA,0.22,21.14524148,0
ADCY9,no,no,NA,0.507,4.758306929,0
SELM,no,no,NA,0.225,0.935023169,0
KCNQ3,no,no,NA,0.504,6.456815006,0
ZBTB39,no,no,NA,0.318,1.426822974,0
SLC5A11,no,no,NA,0.77,0,0
FAM110A,no,no,NA,0.749,1.890238431,0
PRAF2,no,no,NA,0.303,11.23426425,0
SLC17A6,no,no,NA,0.752,14.38503271,0
CORO7,no,no,NA,0.854,7.794867125,0
ATP8B2,no,no,NA,0.562,0,0
COMMD3,no,no,NA,0.156,1.229200868,0
PSMF1,no,no,NA,0.509,4.91856995,0
ELMO2,no,no,NA,0.313,2.2485313,0
DENND1C,no,no,NA,0.651,1.417304993,0
SLC43A3,no,no,NA,0.437,1.221992703,0
ANKRD28,no,no,NA,0.359,2.461148772,0
SESN1,no,no,NA,0.641,1.634555359,0
LRRC6,no,no,NA,0.339,3.160008828,0
TNFSF14,no,no,NA,0.612,1.574985551,0
SPAG6,no,no,NA,0.885,0,0
HGS,no,no,NA,0.513,10.99545644,0
DTX3L,no,no,NA,0.142,10.98868726,0
SLC5A10,no,no,NA,0.817,7.307650201,0
EIF4ENIF1,no,no,NA,0.309,2.10152133,0
WDR52,no,no,NA,0.307,0,0
PKIA,no,no,NA,0.3,0,0
HSPB8,no,no,NA,0.603,0,0
UBE2L6,no,no,NA,0.909,0,0
CNNM4,no,no,NA,0.162,0,0
R3HDM2,no,no,NA,0.169,19.79548568,0
AP1M1,no,no,NA,0.368,0.852957052,0
FAM164A,no,no,NA,0.00437,5.809500125,0
CCDC60,no,no,NA,0.1001,2.45231708,0
GPR17,no,no,NA,0.476,0,0
SIK2,no,no,NA,0.341,2.158554332,0
N4BP2,no,no,NA,0.401,0,0
ZMYND8,no,no,NA,0.602,12.94336656,0
ALOX5AP,no,no,NA,0.303,2.095403938,0
ARHGAP9,no,no,NA,0.269,0,0
INSR,no,no,NA,0.48,1.097929673,0
CYP4X1,no,no,NA,0.627,0.963121996,0
ACSL5,no,no,NA,0.771,6.415226908,0
GRIA2,no,no,NA,0.436,9.532627311,0
DCST1,no,no,NA,0.0654,10.50162392,0
STMN2,no,no,NA,0.575,24.35680189,0
FOXD2,no,no,NA,0.325,0,0
C11orf52,no,no,NA,0.612,0,0
CLU,no,no,NA,0.416,14.1468775,0
B4GALNT1,no,no,NA,0.325,1.392858364,0
NFIL3,no,no,NA,0.808,0,0
RAC3,no,no,NA,0.307,8.647703327,0
CUEDC1,no,no,NA,0.526,0,0
ALDH3A2,no,no,NA,0.637,0,0
LETM2,no,no,NA,0.871,0,0
BBOX1,no,no,NA,0.855,1.020570935,0
PCP2,no,no,NA,0.54,11.75165209,0
TRIM46,no,no,NA,0.443,0,0
CAV2,no,no,NA,0.876,1.92403488,0
PTPDC1,no,no,NA,0.277,0,0
AGFG1,no,no,NA,0.345,1.971759726,0
SPTLC1,no,no,NA,0.409,3.524067288,0
UCHL1,no,no,NA,0.82,0,0
RNF10,no,no,NA,0.833,3.813620661,0
MED21,no,no,NA,0.1066,8.913350229,0
CD209,no,no,NA,0.781,5.306472951,0
DLST,no,no,NA,0.538,5.555713572,0
ZBTB20,no,no,NA,0.0658,26.60439961,0
HCN3,no,no,NA,0.519,0,0
CTDSP2,no,no,NA,0.726,3.24367823,0
TCF7L2,no,no,NA,0.722,0,0
U2AF1,no,no,NA,0.336,0,0
ASTN1,no,no,NA,0.809,1.086847636,0
USP34,no,no,NA,0.782,3.013021798,0
RUSC1,no,no,NA,0.663,9.046678379,0
HNF1A,no,no,NA,0.589,9.950006472,0
ADAM32,no,no,NA,0.541,2.974081808,0
NARF,no,no,NA,0.791,6.950886629,0
PATL1,no,no,NA,0.235,13.1779619,0
IPPK,no,no,NA,0.488,0,0
BAMBI,no,no,NA,0.578,0,0
OR10V1,no,no,NA,0.256,5.492891892,0
UMPS,no,no,NA,0.537,0,0
TMEM39A,no,no,NA,0.726,13.81211416,0
NDUFA7,no,no,NA,0.391,0.8759576,0
SLC26A2,no,no,NA,0.381,4.289929179,0
KIF13B,no,no,NA,0.0715,12.54709712,0
TRIM23,no,no,NA,0.639,7.612772931,0
CDC25B,no,no,NA,0.754,12.51579378,0
FN3KRP,no,no,NA,0.776,0,0
FN3K,no,no,NA,0.836,4.387380242,0
RBPMS2,no,no,NA,0.314,0,0
P2RY14,no,no,NA,0.277,1.052247487,0
FCHO1,no,no,NA,0.368,8.970348812,0
NINJ1,no,no,NA,0.307,0,0
PTGIS,no,no,NA,0.312,10.02162912,0
SPATA2,no,no,NA,0.603,7.594840307,0
CRK,no,no,NA,0.15,6.165206046,0
IGSF9B,no,no,NA,0.596,0,0
DHRS7B,no,no,NA,0.69,0,0
HNRNPD,no,no,NA,0.687,0,0
B3GNT3,no,no,NA,0.417,0,0
SLC25A44,no,no,NA,0.827,6.449467653,0
SLC8A3,no,no,NA,0.346,0.962417596,0
RDH11,no,no,NA,0.585,0,0
ZFYVE26,no,no,NA,0.559379271,3.648955565,1
FAR2,no,no,NA,0.129,6.380043561,0
ATXN2L,no,no,NA,0.519,2.147042353,0
VWCE,no,no,NA,0.456,38.55193557,0
UBE2G2,no,no,NA,0.41,0,0
TYK2,no,no,NA,0.74,9.96492255,0
ZNF532,no,no,NA,0.625,0,0
ELP4,no,no,NA,0.364,8.194691881,0
PRNP,no,no,NA,0.384,0,0
TMEM66,no,no,NA,0.676,4.072674944,0
TMEM186,no,no,NA,0.623,0,0
SIDT2,no,no,NA,0.241,0,0
PDSS1,no,no,NA,0.392,6.560312515,0
FAM160B1,no,no,NA,0.403,4.453241785,0
USP7,no,no,NA,0.427,19.911164,0
HEATR6,no,no,NA,0.693,0,0
OVOL2,no,no,NA,0.00742,3.66476921,0
OR7G1,no,no,NA,0.223,0,0
NTRK1,no,no,NA,0.763,5.789685017,0
ZFP36L1,no,no,NA,0.834,5.808162359,0
TMEM184B,no,no,NA,0.0338,1.827663961,0
MYH9,no,no,NA,0.329,0.892243259,0
NKIRAS1,no,no,NA,0.656,2.983411666,0
SLITRK6,no,no,NA,0.547,0,0
CSNK1E,no,no,NA,0.403,3.83592084,0
C11orf10,no,no,NA,0.278,8.202245793,0
ACTN1,no,no,NA,0.575,0,0
SMYD4,no,no,NA,0.0193,3.889854281,0
FAM123B,no,no,NA,0.669,1.065389741,0
AGPAT6,no,no,NA,0.599,7.158002156,0
HIP1R,no,no,NA,0.542,11.1064795,0
RTN4RL1,no,no,NA,0.416,24.52027485,0
ZYG11B,no,no,NA,0.419,4.175231071,0
KCNJ4,no,no,NA,0.566,0.896130231,0
ZNF266,no,no,NA,0.286,10.42080601,0
FOXRED2,no,no,NA,0.235,20.55109479,0
FGD1,no,no,NA,0.169,7.223185805,0
FTCD,no,no,NA,0.436,1.910491792,0
LRRC4,no,no,NA,0.84,7.651154888,0
GLOD4,no,no,NA,0.856,1.161791263,0
SMG6,no,no,NA,0.448,21.36555446,0
GOLGB1,no,no,NA,0.018310904,14.83411184,0
ZNF426,no,no,NA,0.766,9.012335946,0
ADCK1,no,no,NA,0.376,0,0
KIF2A,no,no,NA,0.14,4.940799314,0
CCNA1,no,no,NA,0.142,2.268972603,0
TNFAIP1,no,no,NA,0.242,2.494371737,0
COPS7B,no,no,NA,0.572,0,0
ELMO1,no,no,NA,0.555,23.65979508,0
ALAS2,no,no,NA,0.917,1.28110865,0
SARM1,no,no,NA,0.128,3.222515868,0
SERTAD2,no,no,NA,0.00845,8.090469654,0
RBM28,no,no,NA,0.539,7.541959983,0
OLFM2,no,no,NA,0.0884,2.511998701,0
KIAA0664,no,no,NA,0.471,19.324206,0
MNDA,no,no,NA,0.766,0,0
COL15A1,no,no,NA,0.036448996,13.22153454,0
HIST1H4D,no,no,NA,0.597,0.913296436,0
S100B,no,no,NA,0.137,0.872223688,0
RFXANK,no,no,NA,0.161,0.900404912,0
NGLY1,no,no,NA,0.0912,4.267137511,0
EGR2,no,no,NA,0.14,8.723865544,0
RAB11FIP1,no,no,NA,0.776,0,0
GTF2H3,no,no,NA,0.887,0,0
IFI16,no,no,NA,0.541,0,0
ZNF592,no,no,NA,0.159,19.34780884,0
TMEM219,no,no,NA,0.138,2.3136496,0
HOOK3,no,no,NA,0.183,5.113583793,0
SLC35D2,no,no,NA,0.142,1.060470867,0
ALPK3,no,no,NA,0.959742087,6.658513855,0
ZNF625,no,no,NA,0.671,0,0
PNMA1,no,no,NA,0.0525,1.621082251,0
EIF4E2,no,no,NA,0.339,0,0
WHSC1L1,no,no,NA,0.603,1.439223634,0
C6orf170,no,no,NA,0.938,18.15131289,0
TRPV3,no,no,NA,0.754,3.680104831,0
CCNL1,no,no,NA,0.374,7.052171369,0
TLL2,no,no,NA,0.159,1.046552721,0
ADCY5,no,no,NA,0.0513,2.727849772,0
CNTN1,no,no,NA,0.207,2.882043744,0
CILP2,no,no,NA,0.316,1.056644321,0
PPWD1,no,no,NA,0.772,1.314420407,0
GIGYF2,no,no,NA,0.424,10.01966324,0
RGS16,no,no,NA,0.553,0,0
NEK11,no,no,NA,0.684,1.119746941,0
GOLGA4,no,no,NA,0.0593,12.25225145,0
PTPRB,no,no,NA,0.275227577,1.40624338,0
IL17RA,no,no,NA,0.0735,6.007063718,0
ANKRA2,no,no,NA,0.321,0,0
MKL1,no,no,NA,0.742,4.618604004,0
NMNAT2,no,no,NA,0.394,2.313296319,0
PRR14,no,no,NA,0.0229,4.90895449,0
MYO9A,no,no,NA,0.364,2.592108245,0
ZFC3H1,no,no,NA,0.332,10.32302463,0
KIAA0317,no,no,NA,0.423,4.643344652,0
SLC25A18,no,no,NA,0.591,9.037819812,0
PARP6,no,no,NA,0.331,5.596516339,0
DNAJC13,no,no,NA,0.801132194,1.148223237,0
MYH11,no,no,NA,0.24,1.932284958,0
MFSD2B,no,no,NA,0.809,2.713176853,0
SH3PXD2B,no,no,NA,0.436,4.300537055,0
KLF1,no,no,NA,0.597,0,0
FJX1,no,no,NA,0.231,0,0
FAM69A,no,no,NA,0.653,3.104302556,0
ANKFY1,no,no,NA,0.556,11.57798874,0
POU2F3,no,no,NA,0.0128,2.232226452,0
FMN2,no,no,NA,0.143,7.158049139,0
HEG1,no,no,NA,0.894,4.736382308,0
ZMYM3,no,no,NA,0.826,13.11956232,0
PEX26,no,no,NA,0.815,3.522720746,0
TMEM67,no,no,NA,0.334,0.973958519,0
PMM1,no,no,NA,0.664,0.937244259,0
TMEM108,no,no,NA,0.644,9.207975329,0
SF1,no,no,NA,0.254,31.30263041,0
NIT1,no,no,NA,0.87,0,0
ERCC6L,no,no,NA,0.826,0,0
EDEM3,no,no,NA,0.827,16.29892384,0
USP21,no,no,NA,0.518,0,0
C13orf15,no,no,NA,0.32,2.503119487,0
MEN1,no,no,NA,0.125,2.913000833,0
BCKDK,no,no,NA,0.692,3.120717411,0
EFR3B,no,no,NA,0.45,7.775376174,0
FAM129A,no,no,NA,0.6,6.242704763,0
TOP1MT,no,no,NA,0.572,5.779348202,0
GPRIN3,no,no,NA,0.513,0,0
ATAD5,no,no,NA,0.488,7.23528115,0
PHKA1,no,no,NA,0.596,36.3508617,0
TLN2,no,no,NA,0.347,12.67105129,0
GPR183,no,no,NA,0.375,11.7402939,0
RFX1,no,no,NA,0.148,5.232084829,0
B3GALNT1,no,no,NA,0.227,11.77631197,0
DPY19L4,no,no,NA,0.221,2.678831976,0
SMURF2,no,no,NA,0.864,0,0
SC5DL,no,no,NA,0.455,0,0
PHLDA1,no,no,NA,0.711,15.93995433,0
SAMD1,no,no,NA,0.147,4.71843914,0
SLC25A28,no,no,NA,0.354,8.524635132,0
EXOC1,no,no,NA,0.572,5.237954986,0
AAK1,no,no,NA,0.825,14.04530275,0
RRP7A,no,no,NA,0.285,7.810875276,0
NAP1L2,no,no,NA,0.945,1.831425885,0
ZNF37A,no,no,NA,0.257,1.488818593,0
ACAN,no,no,NA,0.722,0,0
NXT2,no,no,NA,0.299,2.493807094,0
DNMBP,no,no,NA,0.356,0,0
COMT,no,no,NA,0.116,2.664553543,0
CYB5R3,no,no,NA,0.612,7.109192692,0
ZIC5,no,no,NA,0.565,6.53823396,0
CSRP2,no,no,NA,0.566,4.14524077,0
C22orf25,no,no,NA,0.25,1.058677126,0
PTGS2,no,no,NA,0.259,4.85780123,0
GABBR1,no,no,NA,0.259,14.07987187,0
DGCR8,no,no,NA,0.547,13.84010274,0
SEMA7A,no,no,NA,0.127,5.058932931,0
CHUK,no,no,NA,0.618,2.38033769,0
MACROD2,no,no,NA,0.764,0,0
SLC48A1,no,no,NA,0.71,8.834612121,0
CWF19L1,no,no,NA,0.334,0,0
MAP3K11,no,no,NA,0.789,6.531960397,0
TMEM106C,no,no,NA,0.546,7.920051528,0
HPGDS,no,no,NA,0.452,3.030696165,0
OPLAH,no,no,NA,0.83,0.881770144,0
PKD2L1,no,no,NA,0.0234,15.23100836,0
RELA,no,no,NA,0.00774,7.068093853,0
MCAT,no,no,NA,0.27,0.867203556,0
MGLL,no,no,NA,0.161,10.75632814,0
C9orf125,no,no,NA,0.551,3.700844963,0
SLC1A6,no,no,NA,0.156,45.73360051,0
PGCP,no,no,NA,0.0352,18.3784376,0
EIF1AD,no,no,NA,0.359,4.974238324,0
NOTCH3,no,no,NA,0.358,2.687911619,0
CATSPER1,no,no,NA,0.925,3.820408821,0
FIBP,no,no,NA,0.325,0.997770934,0
ING2,no,no,NA,0.389,27.90444434,0
GAL3ST3,no,no,NA,0.285,3.297225848,0
GPR133,no,no,NA,0.543,1.759932053,0
PAWR,no,no,NA,0.384,0,0
SNX1,no,no,NA,0.564,1.942627081,0
PPP1R10,no,no,NA,0.542,2.369352542,0
CDK5R1,no,no,NA,0.348,8.500306957,0
ALKBH3,no,no,NA,0.553,2.053303755,0
ARSB,no,no,NA,0.848,5.388338718,0
ZNF621,no,no,NA,0.27,9.934305837,0
GTF2F2,no,no,NA,0.332,1.069079026,0
AKAP8,no,no,NA,0.739,5.324109123,0
DLG4,no,no,NA,0.673,3.195069185,0
INADL,no,no,NA,0.600388674,12.52036057,0
AKAP8L,no,no,NA,0.0351,3.148249907,0
IQGAP1,no,no,NA,0.789,1.081860086,0
HMMR,no,no,NA,0.891,13.72594483,0
MAT2B,no,no,NA,0.532,0,0
RAB24,no,no,NA,0.606,3.995608471,0
MAGT1,no,no,NA,0.589,3.029187954,0
MXD3,no,no,NA,0.693,2.966719141,0
ARMC8,no,no,NA,0.236,1.182450881,0
RASAL3,no,no,NA,0.939,2.511167932,0
OR2L13,no,no,NA,0.385,0,0
DSTN,no,no,NA,0.602,5.607901399,0
VWA5A,no,no,NA,0.773,3.582853036,0
NEURL4,no,no,NA,0.358,4.115428494,0
ZNF167,no,no,NA,0.73,0,0
TRAK1,no,no,NA,0.703628079,0,0
CD82,no,no,NA,0.753,1.054067393,0
FGF8,no,no,NA,0.738,1.151262573,0
ZNF660,no,no,NA,0.183,0,0
CTGF,no,no,NA,0.363,0,0
P4HA1,no,no,NA,0.495,3.388142433,0
FOXH1,no,no,NA,0.437,1.238961352,0
LRRFIP2,no,no,NA,0.979,12.34525631,0
PLS3,no,no,NA,0.538,2.530670723,0
SCAPER,no,no,NA,0.962,0,0
MAN2A2,no,no,NA,0.11,30.98066442,0
CNDP2,no,no,NA,0.688,12.14550787,0
COBLL1,no,no,NA,0.275,16.6389122,0
ECE1,no,no,NA,0.105,6.96138727,0
ANKRD37,no,no,NA,0.388,4.621065202,0
ASB1,no,no,NA,0.0253,3.865809265,0
CSRP2BP,no,no,NA,0.439,0,0
TNFAIP6,no,no,NA,0.773,0,0
RIF1,no,no,NA,0.627,0,0
CCM2,no,no,NA,0.633,0,0
LYN,no,no,NA,0.553,1.343951124,0
UNC45B,no,no,NA,0.884,6.124993087,0
TRAPPC1,no,no,NA,0.765,4.670034391,0
DIS3L,no,no,NA,0.871,4.633849724,0
SLC6A15,no,no,NA,0.651,29.78997841,0
LRRC39,no,no,NA,0.149,0,0
SGIP1,no,no,NA,0.566,0,0
ZSCAN16,no,no,NA,0.745,2.804635636,0
EEF1A2,no,no,NA,0.568,4.255862513,0
CRY2,no,no,NA,0.0307,7.635687986,0
PPP3CB,no,no,NA,0.383,1.112255694,0
FBRSL1,no,no,NA,0.568,6.752396703,0
PER1,no,no,NA,0.0928,11.06805603,0
C19orf42,no,no,NA,0.518,14.05974557,0
PTK6,no,no,NA,0.736,0,0
LINGO1,no,no,NA,0.551,17.17099405,0
NUDT8,no,no,NA,0.614,0,0
ZNF193,no,no,NA,0.904,4.44874908,0
RANBP17,no,no,NA,0.647,3.243781803,0
CABP2,no,no,NA,0.401,1.464547119,0
AP2B1,no,no,NA,0.201,6.521118168,0
RNF130,no,no,NA,0.298,9.635133167,0
C22orf40,no,no,NA,0.244,0,0
CACNA2D4,no,no,NA,0.2,11.06307364,0
PGBD1,no,no,NA,0.223,0,0
IL13RA1,no,no,NA,0.306,4.093666797,0
DOCK8,no,no,NA,0.931982573,0.883281704,0
FAM124A,no,no,NA,0.859,3.687557738,0
AGXT2L2,no,no,NA,0.859,0,0
CSRP1,no,no,NA,0.563,3.54571587,0
CERK,no,no,NA,0.885,5.365828967,0
FAM175B,no,no,NA,0.228,2.511627522,0
FCHO2,no,no,NA,0.662,5.662083776,0
SLC25A36,no,no,NA,0.405,17.75184718,0
ZCCHC12,no,no,NA,0.387,2.016609833,0
TLX3,no,no,NA,0.321,3.218163926,0
